word,used_in_graph,rank,rank_quartile,rank_in_top20%,sim_whisky,valence,sum_sim_valence
liqueur,1,25174,1,1,0.48265786310474396,0.26255732774734497,0.745215190852089
schnapps,1,94307,2,0,0.4794546192442787,0.28822094202041626,0.7676755612646949
vermouth,1,66798,2,0,0.4358292628461656,0.2008773386478424,0.6367066014940079
malty,1,144941,2,0,0.41314982026458813,0.24906767904758453,0.6622174993121727
amaretto,1,72550,2,0,0.39875046597527686,0.24745668470859528,0.6462071506838721
aperol,1,144848,2,0,0.3836669581857102,0.21665409207344055,0.6003210502591507
elderflower,1,124416,2,0,0.3703592239835075,0.1945197731256485,0.564878997109156
fruity,1,29970,1,1,0.35774495084922125,0.4727034568786621,0.8304484077278833
concoction,1,44100,2,0,0.3465411040810532,0.22210867702960968,0.5686497811106629
fizzy,1,64691,2,0,0.3263926899391091,0.15022996068000793,0.476622650619117
spritzer,1,97205,2,0,0.3120642163450584,0.16457395255565643,0.4766381689007148
taste,1,2106,0,1,0.30218974877727883,0.39457204937934875,0.6967617981566276
flavour,1,5850,0,1,0.29943705587790004,0.7453093528747559,1.044746408752656
smokiness,1,144153,2,0,0.29365476125391293,0.19413715600967407,0.487791917263587
heady,1,44170,2,0,0.28722868559456,0.3015710413455963,0.5887997269401564
aroma,1,10983,1,1,0.2855503949635251,0.7152726054191589,1.0008230003826841
blackcurrant,1,145234,2,0,0.2839908747361873,0.10236570239067078,0.38635657712685806
blend,1,3017,0,1,0.2767812025693873,0.8358877301216125,1.1126689326909998
minty,1,96224,2,0,0.27294417782269426,0.18820889294147491,0.46115307076416917
chocolate,0,1812,0,1,0.24877642079194748,0.3836705684661865,0.632446989258134
craftsmanship,0,25638,1,1,0.24603443674965567,0.46685922145843506,0.7128936582080907
syrupy,1,97931,2,0,0.24404285683342214,0.12224067747592926,0.3662835343093514
tannin,1,53992,2,0,0.24086280361147974,0.1275901049375534,0.3684529085490331
mouthfeel,1,134245,2,0,0.23433879430434507,0.0894082635641098,0.32374705786845487
aftertaste,1,105342,2,0,0.23258196479728044,-0.09316207468509674,0.1394198901121837
wormwood,0,156641,2,0,0.22745028524735134,-0.1632482409477234,0.06420204429962795
