word,sum_over_NF_dims
fruity,3.792744941373722
vegetable,2.004845045159436
coarse,1.6304949136780882
grain,1.6019872758130327
beer,1.4755396771803366
whisky,1.4301645399099752
milk,1.4182635913461894
distill,1.3950858413131575
vodka,1.3446865777603263
malt,1.321468163320876
scotch,1.2183550516971464
harvest,1.2120516034660946
crop,1.2110053123727864
whiskey,1.2085666212212112
oat,1.1992813953300738
liqueur,1.1495142525463937
rice,1.0421439688427436
cereal,1.0297439202450134
corn,0.939915385792798
sugar,0.9269580776412943
barley,0.9064821514585083
bourbon,0.836872705608287
gin,0.7824891823545187
brandy,0.7653187363477278
abv,0.7185385909461544
wheat,0.6794197864453999
buckwheat,0.6210595889518546
ale,0.6086690571457183
lager,0.5741059383107621
millet,0.520333442707582
rye,0.5180292414140065
starch,0.5111884048290892
distillery,0.47990560749154343
rum,0.3808451474235255
sugarcane,0.36986573641786136
soya,0.35936229625313054
cask,0.17800606412352363
flour,0.1568922159323234
groundnut,-0.01553969469726224
maize,-0.028285055242635748
sorghum,-0.13296362739451217
soybean,-0.17802703246327967
tonne,-0.40539452366357376
