word,dim_dg_Relaxed,dim_dg_Confident,dim_dg_Welcoming,dim_dg_Social,dim_dg_Playful,dim_dg_Street-Smart,dim_dg_Progressive,dim_dg_Stylish,dim_dg_Inspiring,dim_dg_Authentic,dim_dg_Friendly,dim_dg_Bold,dim_dg_Inclusive,dim_dg_Fun,dim_dg_Passionate,dim_dg_Refined,dim_dg_pungent,dim_dg_bland,dim_dg_bitter,dim_dg_caramellic,dim_dg_malt,dim_dg_raw,dim_dg_smooth,dim_dg_spicy,dim_dg_sweet,dim_dg_smoky,"dim_dg_fullness, complexity",dim_dg_grain,dim_dg_matured,"dim_dg_vanilla, confectionery",dim_nf_appealing,dim_nf_expensive,dim_nf_fascination,dim_nf_fresh,dim_nf_healthy_positive,dim_nf_winner,dim_nf_mild,dim_nf_modern,dim_nf_natural,dim_nf_new,dim_nf_pleasant,dim_nf_attractive,dim_nf_Tasty,dim_nf_trendy,dim_nf_valuable,dim_nf_warm
gin,0.03890543659137296,-0.0031270432985938345,-0.014186247612562744,-0.09821313025446422,0.12864051839217935,0.05174965555549827,0.04107178221217919,0.10573254346132088,0.06269809731211194,0.011223743777513841,0.008640288535559024,0.04067708167456205,-0.06896391653283102,0.14015682414374028,-0.028155463086169074,0.10176513654500867,0.16734269898044546,0.12449632705255016,0.18021888616397264,0.1914705879448896,0.4271394002212864,0.06256352784067165,0.10519003466553119,0.1477013210874398,0.3006293194289276,0.08045152101820269,-0.11732621671445981,0.17346158401915268,0.1599629972015338,0.22409907357296963,0.00899627537656111,-0.01094961961452592,0.040954532262354605,0.05438266136719939,0.0802975305934966,0.06477905580959763,0.08221702215787573,0.061480216994180346,-0.09195025939815182,0.09348110316179443,0.05933163986752223,0.048340818768799726,0.15457090275816382,0.08607695442831935,0.02413216619524373,0.026348181626087784
starch,-0.019588111840608137,-0.053179937294440593,-0.05906897631414916,-0.05643551392990542,-0.10050409624761045,-0.15696522254391032,-0.054338243719456725,-0.0423624033939427,-0.1418218344850535,-0.03194674665941289,-0.029471486797072156,-0.1652078502297509,-0.057700931299318185,-0.10725078120075787,-0.10929698846653836,0.09922996675606369,0.33112726658187625,0.14543900977038782,0.3156161410317123,0.21253775084847304,0.18415233741555045,0.2683954787331613,0.20458289409577668,0.12438299391156096,0.46041923871233015,0.005935779313875432,0.024995190730860487,0.5729966640326392,0.1611418698566161,0.3711948191840901,0.04452477411846525,-0.005633625086683751,-0.11363725424154812,0.11347393269334399,0.36013646915717845,-0.17025232639943186,0.21312668000407448,-0.033621038353926866,0.19968005425446939,0.03969603526514065,-0.06644733700035214,-0.08144458433497524,0.10043957487909419,0.016907199544024986,0.028662970531423356,-0.13442312020120747
whiskyimflsingle,0.021666937973018413,-0.08850656913352516,0.04475535841261929,0.019655878451506435,-0.00017905278395993432,-0.14239987802405488,0.033895546754612774,0.037549520196906175,-0.11074050201355633,-0.008706906090776892,0.010500906037771837,-0.08888463060829593,-0.009565243116402316,-0.015182678585774325,-0.047777172747946836,-0.020923850573203093,0.08844130689939698,0.08632134949999372,0.14881872903028248,0.07851383554174952,0.42811447786787254,0.025721540994201098,0.06570216483262885,0.20850848696775312,0.16372169590398117,0.0857021661637691,-0.09036629375840502,0.17103818361761045,0.014497301647733387,0.16983656603657266,-0.010898065809999224,0.025579352838117533,-0.09538527410347296,0.05148081198448787,0.04304753659075781,-0.040245855815013415,0.05826840304118868,0.07199935082107649,-0.022299532188616,0.012955117649769898,-0.06592207586176486,-0.02185718762570886,0.1308717007648057,0.005362171117640062,-0.021721109259553152,-0.07299703782345535
ballantine,-0.001656425329774585,-0.02086299257945958,0.006347100806155185,-0.025968792772449838,0.07703656969791822,0.07738894141912361,0.08159742760973247,0.11774584661661246,0.14194787458775487,0.052956591381670935,-0.04961170707200387,0.03601217316237317,0.03032376079951308,0.040996250676367293,0.06099428681437459,0.0787022888685042,0.021196467266001842,0.005770597892278089,0.03446829079084456,0.048632706542253476,0.42587193567968623,-0.08449080405549793,0.03905124561951308,0.05674111919377793,0.08815179078072236,-0.00273531069406331,-0.055812630574825564,-0.03865698727454664,0.0017085148128777403,0.06974341740536504,0.0025762299001825376,-0.053756245041656416,0.12490894931887678,-0.06318329626184123,-0.002979820701938826,0.13149805266389214,-0.061408320882654625,0.06310685434123346,-0.11350578906207605,0.02705796440170702,0.05439388722756652,0.12784281532166503,0.11206410788831808,0.10325442587889828,0.007532255034052154,-0.021714774408893054
soybean,-0.0923473140435409,-0.05002518194114742,-0.11169095806210884,-0.08929095387650769,-0.12820943805413998,-0.17385279712333135,-0.024692116824921333,-0.11339139535907432,-0.14774719544210616,-0.11247112729860524,-0.06479921835314115,-0.20931771908537844,-0.03934369952292784,-0.1195911607578392,-0.1353798964407596,0.02032557338438063,0.24388193903047115,0.10497933572905911,0.2083959228677629,0.08651682868513662,0.11938475632166522,0.33005415183866954,0.012102945232107858,0.12411147577617324,0.27339272731435277,-0.07836876687006974,-0.04174890176727347,0.6601428332233293,0.20343091058472632,0.19321432459730628,-0.08895269356797188,0.01848394125416766,-0.10747955612815324,0.009799648299747768,0.23966588621792417,-0.10282676166545965,0.04028064237587732,0.0322439562574635,0.15395602946816353,0.06608392592391081,-0.15726187949328568,-0.17174898698601287,-0.01762748428557791,-0.035043218468181064,-0.0029741048634437644,-0.05462637680244839
malty,0.212211975045095,0.1495340173509172,0.08600262989052773,0.023872364459629807,0.2735941954606902,0.08461317837511222,0.19785458751808807,0.25101791596380296,0.1353541442615111,0.25291151802299766,0.23671570472876824,0.1777452400262301,0.08391497184560681,0.15600992259223737,0.18133788916202886,0.250311155138158,0.33972991567361244,0.2872633916136248,0.38112508459186917,0.28575776919076146,0.5004819274384148,0.1963983709976761,0.4187251287368736,0.35598516085067233,0.4051345997150819,0.25015316073974186,0.06545273486129043,0.22133294018066818,0.26213156346060235,0.3411395083933844,0.2882271876653155,0.03481637598156888,0.02176305224801052,0.15416091017492986,0.3174930837778492,0.011064487980071327,0.3465933216098599,0.1521726463361116,0.09829316768645487,0.13329425938760367,0.13348043532513798,0.27392921534117837,0.4190195560187287,0.1857947641671765,0.10939233332342908,0.16792567810161627
islay,0.06936327338241129,-0.01862729198164463,-0.048581191285932634,-0.009909294813906755,0.03549429398756191,-0.04571056659629106,0.055199130674464296,0.032460048600131464,0.10102307284335492,0.08304604137705579,-0.08496902513678209,0.03960740528324939,0.06076841744338308,0.03650153703195466,-0.016367820527918124,0.0738979935442256,0.13887888977600626,-0.0003632597235983916,0.07964542320292632,0.10884306762930836,0.5269505653663911,0.0691707831541173,0.07365386451842844,0.1573134733416214,0.11647597928639151,0.08643124768131241,0.031001786024549196,0.11986708009260218,0.06162857034495665,0.17245002113608238,-0.0022108491880813035,-0.0641787237729378,0.07476828349842796,0.03352624359499165,-0.0412185843520548,0.031494766631203056,0.07106469405838596,0.1241995539956019,0.0415819882389309,0.020064532848857928,-0.04796511965848928,0.08491731274780208,0.10685801591816829,0.0294897919383209,0.05056908842172052,-0.042344933611273616
milk,0.010856908437107049,-0.0520594363264214,-0.04951080931064191,-0.04740673912018792,-0.0278736475321069,-0.087799169700431,-0.053141638751136776,-0.04954015200739276,-0.05527139495961193,0.016594189928927063,-0.002254237510331834,-0.05813392105273776,-0.071307985595167,-0.04954983856119072,-0.07073226724593572,0.10606603579895202,0.22843557516510732,0.20687634285629797,0.34220135244645516,0.22824907461560062,0.2547731627467994,0.2909120223471503,0.23149091546936953,0.1612611155464993,0.4574404113300577,0.05364762124730686,0.002517982266715392,0.4564771852288422,0.1959840196891298,0.430756124414572,0.07437117374248045,-0.03241103624189023,-0.06686372228369258,0.24175780812191897,0.3625143828385668,-0.0529621139569873,0.2862560201194841,0.07373148225426042,0.21798626236834848,0.13204945347700842,0.03555633084015728,-0.02742974496290861,0.11170144838154732,0.030052701826349434,0.06819362267260301,-0.036240477851056586
abv,-0.002555136989512875,0.05444351043918593,-0.006026173359503537,-0.0866224967629707,0.06853497355522263,0.032246301955783985,0.07778572634506636,0.13137703608396506,0.0707756846874129,0.031340093780323416,-0.02526885672732413,0.14650568662458693,0.026481716563278336,0.042250556911262754,0.101996914549513,0.12287976369024746,0.08881463962596856,0.12618661719331534,0.13847168920007108,0.17535990847203997,0.4931751259968117,0.0724511658088594,0.1416920611479757,0.10851700149094334,0.19188870606926567,0.0063814827135905,-0.029437233403910124,0.17832432191329137,0.14674637220634978,0.1433878012931447,0.02483720619129995,0.016116736313084266,-0.05471935865023454,-0.01829215638788448,0.08632578033608154,0.17636239649557753,0.05716452885767387,0.04177834188133082,-0.0665049588126537,0.04688783297631459,0.05159756315639655,0.09172606663605942,0.09113571759154086,0.12274700974815696,0.08778266918408814,-0.03640678457067737
jaggery,0.10748629990728746,-0.08216140645992799,-0.007060460874515342,-0.07659480107066496,-0.0077218320028102205,-0.14919839755991815,-0.06628921684982216,-0.04027750468927728,-0.08304938754679385,0.0793105698285573,0.04806992456878182,-0.18318157878967203,-0.14254407440827804,0.003733563660859897,-0.10042336590875,0.10560172403661672,0.35820902776694624,0.1804379014070603,0.34549954272907746,0.32671585124316715,0.24105965787901812,0.3332755826249046,0.20685890291175155,0.32771552536199766,0.5604176113726393,0.029486799299587023,-0.0047291166769509296,0.5015044046604059,0.24142002888965916,0.47293097899952175,0.04449748183670486,0.0202470414519701,-0.11727469154671147,0.14725976719712514,0.34913040371640003,-0.14832584677047866,0.2294428019239339,0.0430410708852417,0.150289928680915,-0.017718794544530667,0.07707053269547463,0.0034692639405905466,0.3133324286118389,-0.0532525165945507,0.07910125314370435,-0.10321664977143027
